TutorialState: Initialized
CameraFeed: Initialized
GameState: Initialized
CameraFeed: Initialized
         2179190 function calls (2178278 primitive calls) in 28.191 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   28.191   28.191 {execfile}
        1    0.008    0.008   28.191   28.191 geekfighter.py:1(<module>)
        1    0.000    0.000   28.092   28.092 geekfighter.py:9(main)
        2    0.550    0.275   24.921   12.460 State.py:67(run)
      613    0.232    0.000   14.448    0.024 imcompare.py:76(findDifference)
    61300    9.600    0.000    9.600    0.000 {cv.Min}
      614    7.300    0.012    7.300    0.012 {cv.WarpPerspective}
        2    2.004    1.002    2.004    1.002 {pygame.time.wait}
      613    1.458    0.002    1.458    0.002 {cv.Split}
      613    1.366    0.002    1.366    0.002 {cv.FindContours}
      613    0.068    0.000    1.285    0.002 imcompare.py:143(get_action_points)
     1824    1.020    0.001    1.223    0.001 {sorted}
        1    0.001    0.001    1.098    1.098 calibration_state.py:15(run)
        1    0.000    0.000    1.036    1.036 calibration_state.py:53(make_background)
     1226    0.793    0.001    0.793    0.001 {cv.CloneImage}
      607    0.001    0.000    0.739    0.001 imcompare.py:22(find_left_most_point)
     6799    0.516    0.000    0.516    0.000 {method 'blit' of 'pygame.Surface' objects}
        1    0.484    0.484    0.507    0.507 {pygame.display.set_mode}
      617    0.497    0.001    0.497    0.001 {pygame.display.flip}
      608    0.001    0.000    0.478    0.001 imcompare.py:18(find_right_most_point)
      613    0.443    0.001    0.443    0.001 {cv.AbsDiff}
        1    0.333    0.333    0.333    0.333 {cv.CaptureFromCAM}
     1226    0.288    0.000    0.288    0.000 {cv.Add}
        4    0.179    0.045    0.179    0.045 {pygame.base.init}
  1072803    0.118    0.000    0.118    0.000 imcompare.py:23(<lambda>)
        1    0.017    0.017    0.090    0.090 __init__.py:25(<module>)
    61913    0.087    0.000    0.087    0.000 {cv.GetRows}
   787121    0.084    0.000    0.084    0.000 imcompare.py:19(<lambda>)
     1215    0.011    0.000    0.078    0.000 State.py:41(bounding_box)
        1    0.002    0.002    0.065    0.065 surfarray.py:60(<module>)
        1    0.001    0.001    0.063    0.063 _numpysurfarray.py:45(<module>)
        1    0.003    0.003    0.062    0.062 __init__.py:106(<module>)
      608    0.004    0.000    0.061    0.000 State.py:51(process_player_one)
      613    0.059    0.000    0.059    0.000 {cv.Threshold}
     2222    0.054    0.000    0.054    0.000 {method 'render' of 'pygame.font.Font' objects}
     1215    0.003    0.000    0.047    0.000 imcompare.py:11(find_center_of_mass)
       44    0.000    0.000    0.045    0.001 game_state.py:17(_process_event)
       20    0.000    0.000    0.045    0.002 player.py:45(fireball)
      607    0.003    0.000    0.045    0.000 State.py:56(process_player_two)
       20    0.000    0.000    0.045    0.002 effects.py:7(__init__)
      613    0.044    0.000    0.044    0.000 {method 'tick' of 'Clock' objects}
     1215    0.043    0.000    0.043    0.000 {cv.Moments}
      198    0.002    0.000    0.043    0.000 tutorial_state.py:14(_state_specific)
        8    0.040    0.005    0.040    0.005 {pygame.imageext.load_extended}
29272/28602    0.006    0.000    0.037    0.000 {len}
     3469    0.032    0.000    0.035    0.000 sprite.py:271(sprites)
        1    0.000    0.000    0.034    0.034 add_newdocs.py:9(<module>)
      108    0.034    0.000    0.034    0.000 {pygame.transform.flip}
      613    0.005    0.000    0.033    0.000 sprite.py:492(draw)
      613    0.010    0.000    0.031    0.000 sprite.py:449(__len__)
        1    0.029    0.029    0.029    0.029 {cv.FindChessboardCorners}
        2    0.003    0.002    0.029    0.014 __init__.py:1(<module>)
      613    0.007    0.000    0.026    0.000 sprite.py:412(clear)
     7379    0.018    0.000    0.023    0.000 imcompare.py:5(contour_iterator)
        4    0.022    0.006    0.022    0.006 {cv.QueryFrame}
        1    0.002    0.002    0.022    0.022 pkgdata.py:18(<module>)
        8    0.021    0.003    0.021    0.003 {method 'convert' of 'pygame.Surface' objects}
        1    0.001    0.001    0.020    0.020 pkg_resources.py:14(<module>)
     3067    0.020    0.000    0.020    0.000 {cv.CreateImage}
     1224    0.020    0.000    0.020    0.000 {pygame.draw.rect}
      955    0.016    0.000    0.016    0.000 {cv.Copy}
     2430    0.015    0.000    0.016    0.000 {pygame.draw.circle}
        2    0.006    0.003    0.015    0.008 __init__.py:2(<module>)
        1    0.001    0.001    0.015    0.015 type_check.py:3(<module>)
        2    0.014    0.007    0.014    0.007 common.py:99(stop)
     1215    0.004    0.000    0.014    0.000 player.py:23(collision_detection)
      415    0.005    0.000    0.014    0.000 sprite.py:301(__iter__)
     6766    0.013    0.000    0.013    0.000 {cv.ContourArea}
     6743    0.011    0.000    0.011    0.000 {cv.GetCols}
      613    0.003    0.000    0.011    0.000 sprite.py:393(update)
        1    0.000    0.000    0.010    0.010 common.py:78(load_animation)
        6    0.000    0.000    0.010    0.002 common.py:47(load_image)
     1215    0.003    0.000    0.009    0.000 sprite.py:1317(spritecollide)
        1    0.001    0.001    0.009    0.009 __init__.py:15(<module>)
      613    0.009    0.000    0.009    0.000 {pygame.event.get}
       26    0.000    0.000    0.008    0.000 pkg_resources.py:406(add_entry)
     1215    0.006    0.000    0.007    0.000 player.py:17(set_properties)
       42    0.001    0.000    0.007    0.000 pkg_resources.py:1686(find_on_path)
        2    0.007    0.004    0.007    0.004 {pygame.transform.scale}
        2    0.000    0.000    0.007    0.004 threading.py:465(start)
       59    0.000    0.000    0.006    0.000 re.py:229(_compile)
       18    0.000    0.000    0.006    0.000 sre_compile.py:501(compile)
       17    0.000    0.000    0.006    0.000 re.py:188(compile)
      243    0.005    0.000    0.006    0.000 function_base.py:3122(add_newdoc)
        1    0.006    0.006    0.006    0.006 __init__.py:84(<module>)
      628    0.005    0.000    0.005    0.000 {built-in method acquire}
     7427    0.005    0.000    0.005    0.000 {range}
        1    0.000    0.000    0.005    0.005 pkg_resources.py:392(__init__)
        2    0.000    0.000    0.005    0.003 threading.py:393(wait)
        2    0.000    0.000    0.005    0.003 threading.py:230(wait)
        2    0.002    0.001    0.005    0.003 __init__.py:9(<module>)
